,address,age,crown_diameter,district_id,downloaded_at,genus_latin,gml_id,identification_tag,ingested_at,location_number,owner,spatial_alias,spatial_name,spatial_type,species_german,species_latin,tree_height,trunk_circumference,year_of_planting
549,Görlitzer Park,39,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,CORYLUS,re_anlagenbaeume.F10__133625,50052,2016-08-15T19:30:47.290Z,827,Land Berlin,F10__133625,F10__133625,Point,BAUM-HASEL - TÜRKISCHE HASEL,CORYLUS COLURNA,12,85,1977
550,Görlitzer Park,71,,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,POPULUS,re_anlagenbaeume.F10__124094,50052,2016-08-15T19:30:47.290Z,1021,Land Berlin,F10__124094,F10__124094,Point,HYBRID - PAPPEL,POPULUS X CANADENSIS HYBRIDE,25,245,1945
551,Görlitzer Park,79,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__124478,50052,2016-08-15T19:30:47.290Z,3,Land Berlin,F10__124478,F10__124478,Point,TATAREN-AHORN,ACER TATARICUM,3,166,1937
552,Görlitzer Park,22,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__124479,50052,2016-08-15T19:30:47.290Z,17,Land Berlin,F10__124479,F10__124479,Point,BERG-AHORN  -  WEISS-AHORN,ACER PSEUDOPLATANUS,12,52,1994
553,Görlitzer Park,51,11,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__124480,50052,2016-08-15T19:30:47.290Z,21,Land Berlin,F10__124480,F10__124480,Point,SPITZ-AHORN,ACER PLATANOIDES,17,122,1965
554,Görlitzer Park,69,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__124481,50052,2016-08-15T19:30:47.290Z,26,Land Berlin,F10__124481,F10__124481,Point,TATAREN-AHORN,ACER TATARICUM,3,171,1947
555,Görlitzer Park,19,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PYRUS,re_anlagenbaeume.F10__124482,50052,2016-08-15T19:30:47.290Z,66,Land Berlin,F10__124482,F10__124482,Point,CHINESISCHE WILD-BIRNE,PYRUS CALLERYANA 'CHANTICLEER',7,38,1997
556,Görlitzer Park,41,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,AESCULUS,re_anlagenbaeume.F10__124483,50052,2016-08-15T19:30:47.290Z,84,Land Berlin,F10__124483,F10__124483,Point,GEMEINE ROSSKASTANIE,AESCULUS HIPPOCASTANUM,12,99,1975
557,Görlitzer Park,20,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__124484,50052,2016-08-15T19:30:47.290Z,86,Land Berlin,F10__124484,F10__124484,Point,SPITZ-AHORN,ACER PLATANOIDES,7,43,1996
558,Görlitzer Park,18,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,TILIA,re_anlagenbaeume.F10__124485,50052,2016-08-15T19:30:47.290Z,101,Land Berlin,F10__124485,F10__124485,Point,SILBER-LINDE,TILIA TOMENTOSA,7,35,1998
559,Görlitzer Park,24,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,QUERCUS,re_anlagenbaeume.F10__124486,50052,2016-08-15T19:30:47.290Z,135,Land Berlin,F10__124486,F10__124486,Point,PYRAMIDEN-EICHE,QUERCUS ROBUR 'FASTIGIATA',12,49,1992
560,Görlitzer Park,41,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ALNUS,re_anlagenbaeume.F10__139163,50052,2016-08-15T19:30:47.290Z,1014,Land Berlin,F10__139163,F10__139163,Point,"GRAU-ERLE,  WEISS-ERLE",ALNUS INCANA,12,89,1975
561,Görlitzer Park,36,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__139164,50052,2016-08-15T19:30:47.290Z,1015,Land Berlin,F10__139164,F10__139164,Point,TRAUBEN-KIRSCHE,PRUNUS PADUS,7,92,1980
562,Görlitzer Park,20,3,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,CARPINUS,re_anlagenbaeume.F10__139165,50052,2016-08-15T19:30:47.290Z,1017,Land Berlin,F10__139165,F10__139165,Point,GEMEINE HAINBUCHE - GEMEINE WEISSBUCHE,CARPINUS BETULUS,7,45,1996
563,Görlitzer Park,21,,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__139166,50052,2016-08-15T19:30:47.290Z,1022,Land Berlin,F10__139166,F10__139166,Point,FELD-AHORN - HECKEN-AHORN - MASSHOLDER,ACER CAMPESTRE,7,45,1995
564,Görlitzer Park,4,,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__139167,50052,2016-08-15T19:30:47.290Z,1023,Land Berlin,F10__139167,F10__139167,Point,SPITZ-AHORN,ACER PLATANOIDES,12,37,2012
565,Görlitzer Park,22,1,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__139271,50052,2016-08-15T19:30:47.290Z,895,Land Berlin,F10__139271,F10__139271,Point,JAPANISCHE ZIERKIRSCHE 'KANZAN',PRUNUS SERRULATA 'KANZAN',3,46,1994
566,Görlitzer Park,51,9,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__139583,50052,2016-08-15T19:30:47.290Z,23,Land Berlin,F10__139583,F10__139583,Point,BERG-AHORN  -  WEISS-AHORN,ACER PSEUDOPLATANUS,12,126,1965
567,Görlitzer Park,62,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__139584,50052,2016-08-15T19:30:47.290Z,25,Land Berlin,F10__139584,F10__139584,Point,TATAREN-AHORN,ACER TATARICUM,3,155,1954
568,Görlitzer Park,57,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__139585,50052,2016-08-15T19:30:47.290Z,39,Land Berlin,F10__139585,F10__139585,Point,TATAREN-AHORN,ACER TATARICUM,3,143,1959
569,Görlitzer Park,44,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__139586,50052,2016-08-15T19:30:47.290Z,44,Land Berlin,F10__139586,F10__139586,Point,TATAREN-AHORN,ACER TATARICUM,3,98,1972
570,Görlitzer Park,21,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PYRUS,re_anlagenbaeume.F10__130566,50052,2016-08-15T19:30:47.290Z,64,Land Berlin,F10__130566,F10__130566,Point,CHINESISCHE WILD-BIRNE,PYRUS CALLERYANA 'CHANTICLEER',7,43,1995
571,Görlitzer Park,33,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__130567,50052,2016-08-15T19:30:47.290Z,87,Land Berlin,F10__130567,F10__130567,Point,SPITZ-AHORN,ACER PLATANOIDES,12,77,1983
572,Görlitzer Park,32,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,TILIA,re_anlagenbaeume.F10__130568,50052,2016-08-15T19:30:47.290Z,103,Land Berlin,F10__130568,F10__130568,Point,SILBER-LINDE,TILIA TOMENTOSA,12,75,1984
573,Görlitzer Park,27,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__130569,50052,2016-08-15T19:30:47.290Z,105,Land Berlin,F10__130569,F10__130569,Point,SPITZ-AHORN,ACER PLATANOIDES,12,58,1989
574,Görlitzer Park,25,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,TILIA,re_anlagenbaeume.F10__130570,50052,2016-08-15T19:30:47.290Z,107,Land Berlin,F10__130570,F10__130570,Point,SILBER-LINDE,TILIA TOMENTOSA,3,55,1991
575,Görlitzer Park,24,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__130571,50052,2016-08-15T19:30:47.290Z,110,Land Berlin,F10__130571,F10__130571,Point,SPITZ-AHORN,ACER PLATANOIDES,12,52,1992
576,Görlitzer Park,27,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,QUERCUS,re_anlagenbaeume.F10__130572,50052,2016-08-15T19:30:47.290Z,124,Land Berlin,F10__130572,F10__130572,Point,PYRAMIDEN-EICHE,QUERCUS ROBUR 'FASTIGIATA',12,61,1989
577,Görlitzer Park,17,3,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,QUERCUS,re_anlagenbaeume.F10__130573,50052,2016-08-15T19:30:47.290Z,144,Land Berlin,F10__130573,F10__130573,Point,PYRAMIDEN-EICHE,QUERCUS ROBUR 'FASTIGIATA',12,36,1999
578,Görlitzer Park,43,8,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ROBINIA,re_anlagenbaeume.F10__130574,50052,2016-08-15T19:30:47.290Z,150,Land Berlin,F10__130574,F10__130574,Point,SCHEIN-AKAZIE - SILBERREGEN,ROBINIA PSEUDOACACIA,12,105,1973
579,Görlitzer Park,77,13,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,POPULUS,re_anlagenbaeume.F10__130575,50052,2016-08-15T19:30:47.290Z,154,Land Berlin,F10__130575,F10__130575,Point,HYBRID - PAPPEL,POPULUS X CANADENSIS HYBRIDE,17,188,1939
580,Görlitzer Park,18,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,CARPINUS,re_anlagenbaeume.F10__121544,50052,2016-08-15T19:30:47.290Z,229,Land Berlin,F10__121544,F10__121544,Point,GEMEINE HAINBUCHE - GEMEINE WEISSBUCHE,CARPINUS BETULUS,7,36,1998
